checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,duration_amount_ratio,age_group,amount_category,duration_category
1,-0.738667542842371,2,0,-0.7004715485718485,0,1,0.024146916773074168,1,0,-1.6724592395536968,2,-0.9275465787730462,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0,0.009259259259259259,3,1,2
3,-0.2408572253028645,2,9,-0.6037085081388105,1,2,0.024146916773074168,1,0,1.0469866784197936,1,-1.0154990326677027,2,0,-0.7049259983890862,1,-0.4282895663715403,0,0,0.011472275334608031,3,1,1
3,-0.2408572253028645,0,9,0.31678092777547323,0,2,-0.8701833340815202,2,0,-0.7659772668958666,2,0.03993041406817406,1,1,1.0270789116578085,2,2.3348689263480744,0,0,0.0043206913106096975,2,2,1
1,0.2569530922366421,2,4,-0.46228560289052434,0,4,0.9184771676276685,1,0,1.0469866784197936,2,-1.3673088482463283,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0,0.012195121951219513,3,1,1
3,-0.8216359290989554,4,0,1.4024409748318656,0,2,-1.7645135849361147,2,0,1.0469866784197936,1,0.3037877757521432,2,1,1.0270789116578085,1,-0.4282895663715403,0,0,0.0015216489140960022,2,0,2
3,-0.738667542842371,2,4,-0.8745032440026969,0,4,0.9184771676276685,2,0,1.0469866784197936,2,0.21583532185748686,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0,0.014906832298136646,2,1,2
1,0.7547634097761486,3,9,-0.2723039557399444,1,4,0.9184771676276685,2,0,-0.7659772668958666,1,0.479692683541456,1,1,1.0270789116578085,2,-0.4282895663715403,0,0,0.011980830670926517,2,2,0
0,1.2525737273156552,4,1,2.25345950992243,0,3,0.9184771676276685,2,0,1.0469866784197936,2,-1.0154990326677027,2,1,1.0270789116578085,2,-0.4282895663715403,1,0,0.003738317757009346,3,0,0
0,-1.2364778603818776,2,3,-1.0077739517053426,0,4,-0.8701833340815202,1,0,-1.6724592395536968,1,1.1833123146987072,0,1,-0.7049259983890862,2,-0.4282895663715403,1,0,0.013986013986013986,2,1,2
3,-0.9875727016121243,2,5,-0.7213837074932742,0,1,-1.7645135849361147,1,0,1.0469866784197936,0,-1.103451486562359,2,0,-0.7049259983890862,2,-0.4282895663715403,1,0,0.007275666936135812,3,1,2
3,-0.9875727016121243,4,0,-0.7256370279518692,0,2,0.024146916773074168,2,0,-1.6724592395536968,0,-0.4877843092997643,2,1,1.0270789116578085,2,-0.4282895663715403,0,0,0.007346938775510204,1,1,2
0,0.2569530922366421,2,3,-0.540263144631434,0,1,0.9184771676276685,2,1,-1.6724592395536968,1,-1.0154990326677027,2,1,-0.7049259983890862,1,-0.4282895663715403,0,1,0.013729977116704805,3,1,1
3,-0.9046043153555399,2,0,-0.5934296503638724,2,2,0.024146916773074168,2,0,-0.7659772668958666,3,0.3917402296467996,2,0,-0.7049259983890862,1,2.3348689263480744,0,1,0.006257822277847309,2,1,2
0,0.2569530922366421,2,0,-0.6699894186185837,4,2,0.9184771676276685,1,0,-0.7659772668958666,1,-0.048022039826482336,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0,0.017366136034732273,1,1,1
0,-0.2408572253028645,2,0,-0.36233257211354014,1,3,0.9184771676276685,2,0,0.1405047057619635,2,-0.4877843092997643,2,1,-0.7049259983890862,3,2.3348689263480744,1,0,0.008,1,2,1
0,-0.738667542842371,4,0,-0.407346880300338,0,2,0.024146916773074168,2,0,-0.7659772668958666,0,0.3037877757521432,2,0,1.0270789116578085,1,2.3348689263480744,0,1,0.005652378709373528,2,2,2
0,1.2525737273156552,2,1,1.7572387897530046,0,2,-0.8701833340815202,2,0,-0.7659772668958666,1,-0.8395941248783899,2,1,-0.7049259983890862,2,2.3348689263480744,0,0,0.004374240583232078,1,0,0
3,3.2438149974736814,3,4,4.388626380137157,0,3,-0.8701833340815202,2,0,1.0469866784197936,2,-1.279356394351672,2,1,1.0270789116578085,2,-0.4282895663715403,1,0,0.0038328861632809506,3,3,3
0,2.2481943623946683,2,1,2.4902276821175557,0,3,0.9184771676276685,2,0,1.0469866784197936,3,0.3037877757521432,1,2,2.7590838217047033,2,2.3348689263480744,1,0,0.004661099242571373,2,3,3
0,1.2525737273156552,4,3,-0.32724267833013077,0,2,0.024146916773074168,3,0,-0.7659772668958666,1,0.919454953014738,2,1,1.0270789116578085,2,-0.4282895663715403,1,0,0.01532567049808429,2,2,0
1,1.2525737273156552,4,1,0.896295840259052,0,2,0.024146916773074168,2,0,1.0469866784197936,2,-0.13597449372113873,2,1,1.0270789116578085,2,-0.4282895663715403,1,0,0.006205826581623858,1,0,0
3,0.2569530922366421,4,4,-0.20814970548946873,0,2,0.9184771676276685,2,0,-0.7659772668958666,0,-0.048022039826482336,2,1,1.0270789116578085,1,-0.4282895663715403,0,0,0.008938547486033519,1,2,1
1,-0.9875727016121243,1,1,0.6584643379492774,0,4,-0.8701833340815202,1,0,1.0469866784197936,3,3.382123662065117,0,2,-0.7049259983890862,3,2.3348689263480744,1,0,0.0017543859649122807,0,0,2
1,-0.738667542842371,2,0,-0.8025512395781302,3,2,0.9184771676276685,3,0,-1.6724592395536968,0,-1.1914039404570154,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0,0.011904761904761904,3,1,2
1,-1.2364778603818776,2,4,-1.0290405539983178,4,4,0.9184771676276685,2,0,1.0469866784197936,1,0.21583532185748686,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0,0.016260162601626018,2,1,2
1,0.2569530922366421,3,9,1.309931254857423,1,3,0.9184771676276685,2,0,1.0469866784197936,2,0.03993041406817406,2,0,-0.7049259983890862,3,-0.4282895663715403,1,0,0.003444316877152698,2,0,1
1,1.2525737273156552,1,5,0.2547533377542951,4,1,0.024146916773074168,1,0,-0.7659772668958666,3,-0.5757367631944207,0,1,-0.7049259983890862,0,-0.4282895663715403,0,0,0.009020295665246805,1,2,0
1,-0.738667542842371,2,3,-0.09012006276345544,0,1,0.024146916773074168,1,0,-1.6724592395536968,0,-0.13597449372113873,2,0,-0.7049259983890862,3,-0.4282895663715403,0,0,0.003976143141153081,1,2,2
0,-1.2364778603818776,2,7,-1.0006850842743507,0,1,0.9184771676276685,1,0,1.0469866784197936,1,-1.103451486562359,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0,0.013363028953229399,3,1,2
2,1.7503840448551617,0,9,1.0696186489468011,0,1,-0.8701833340815202,0,0,-1.6724592395536968,1,-0.22392694761579512,2,1,1.0270789116578085,2,-0.4282895663715403,0,0,0.006677265500794912,1,0,3
0,-0.9046043153555399,4,0,-0.7915634950600929,0,3,0.9184771676276685,2,1,0.1405047057619635,1,1.1833123146987072,2,1,1.0270789116578085,2,-0.4282895663715403,1,0,0.009624639076034648,2,1,2
3,0.2569530922366421,3,9,1.9057505624322826,0,1,-0.8701833340815202,2,0,-0.7659772668958666,2,-0.7516416709837335,0,1,1.0270789116578085,2,-0.4282895663715403,1,0,0.002774887270204648,1,0,1
0,-0.738667542842371,2,3,0.1129759891344593,0,2,-0.8701833340815202,2,1,-0.7659772668958666,1,-0.5757367631944207,2,1,-0.7049259983890862,1,2.3348689263480744,0,0,0.003341687552213868,1,2,2
3,-0.8216359290989554,2,9,-0.4002580128693462,3,4,-1.7645135849361147,0,0,-0.7659772668958666,0,-0.6636892170890771,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0,0.005132991133924405,1,2,2
3,-0.2408572253028645,1,0,1.1295195787386818,0,4,-0.8701833340815202,2,0,1.0469866784197936,3,0.3037877757521432,0,1,1.0270789116578085,3,2.3348689263480744,1,0,0.002786809103576405,2,0,1
1,1.2525737273156552,2,1,1.3031968307979807,0,2,-0.8701833340815202,2,0,-0.7659772668958666,2,-0.048022039826482336,2,0,-0.7049259983890862,3,-0.4282895663715403,1,0,0.005180601525399338,1,0,0
3,-0.738667542842371,2,7,-0.9046309305844119,0,4,0.9184771676276685,2,0,1.0469866784197936,2,0.479692683541456,0,1,-0.7049259983890862,1,2.3348689263480744,0,0,0.016666666666666666,2,1,2
1,1.2525737273156552,3,9,2.3342725986357364,1,3,-1.7645135849361147,2,0,0.1405047057619635,1,-0.3998318554051079,2,1,1.0270789116578085,1,2.3348689263480744,1,0,0.0036518563603164943,1,0,0
2,-0.738667542842371,1,4,-1.0145083757647846,3,2,0.024146916773074168,1,0,0.1405047057619635,0,0.5676451374361124,2,0,1.0270789116578085,2,-0.4282895663715403,0,0,0.02926829268292683,2,1,2
1,0.7547634097761486,4,0,0.6956808919619843,0,0,0.9184771676276685,3,0,-0.7659772668958666,2,-0.6636892170890771,2,1,1.0270789116578085,3,-0.4282895663715403,0,0,0.0057306590257879654,1,0,0
1,1.2525737273156552,2,7,3.310764087254855,1,2,-1.7645135849361147,2,0,1.0469866784197936,3,1.0074074069093943,2,2,-0.7049259983890862,2,2.3348689263480744,1,0,0.002854198049631333,2,3,0
