,count,unique,top,freq,mean,std,min,25%,50%,75%,max
checking_status,1000,4,A14,394,,,,,,,
duration,1000.0,,,,20.903,12.058814452756375,4.0,12.0,18.0,24.0,72.0
credit_history,1000,5,A32,530,,,,,,,
purpose,1000,10,A43,280,,,,,,,
credit_amount,1000.0,,,,3271.258,2822.7368759604406,250.0,1365.5,2319.5,3972.25,18424.0
savings_status,1000,5,A61,603,,,,,,,
employment,1000,5,A73,339,,,,,,,
installment_rate,1000.0,,,,2.973,1.1187146743126786,1.0,2.0,3.0,4.0,4.0
personal_status,1000,4,A93,548,,,,,,,
other_parties,1000,3,A101,907,,,,,,,
residence_since,1000.0,,,,2.845,1.1037178956568536,1.0,2.0,3.0,4.0,4.0
property_magnitude,1000,4,A123,332,,,,,,,
age,1000.0,,,,35.546,11.375468574317512,19.0,27.0,33.0,42.0,75.0
other_payment_plans,1000,3,A143,814,,,,,,,
housing,1000,3,A152,713,,,,,,,
existing_credits,1000.0,,,,1.407,0.5776544682461002,1.0,1.0,1.0,2.0,4.0
job,1000,4,A173,630,,,,,,,
num_dependents,1000.0,,,,1.155,0.36208577175319395,1.0,1.0,1.0,1.0,2.0
own_telephone,1000,2,A191,596,,,,,,,
foreign_worker,1000,2,A201,963,,,,,,,
class,1000.0,,,,1.3,0.4584868702702512,1.0,1.0,1.0,2.0,2.0
