rounds,accuracy,f1_score,roc_auc,precision,recall
1,0.6766666666666666,0.5402843601895735,0.7139682539682539,0.47107438016528924,0.6333333333333333
2,0.69,0.5633802816901409,0.7458201058201058,0.4878048780487805,0.6666666666666666
3,0.7166666666666667,0.5641025641025641,0.7569841269841271,0.5238095238095238,0.6111111111111112
4,0.7466666666666667,0.6237623762376238,0.7626455026455027,0.5625,0.7
5,0.75,0.6305418719211823,0.7675661375661375,0.5663716814159292,0.7111111111111111
6,0.7566666666666667,0.6403940886699507,0.7758730158730159,0.5752212389380531,0.7222222222222222
7,0.76,0.6326530612244898,0.7825925925925926,0.5849056603773585,0.6888888888888889
8,0.7633333333333333,0.6358974358974359,0.7808465608465609,0.5904761904761905,0.6888888888888889
9,0.7633333333333333,0.6321243523316062,0.782010582010582,0.5922330097087378,0.6777777777777778
10,0.76,0.6326530612244898,0.7853439153439153,0.5849056603773585,0.6888888888888889
11,0.7666666666666667,0.65,0.7928571428571429,0.5909090909090909,0.7222222222222222
12,0.77,0.6532663316582915,0.7940211640211641,0.5963302752293578,0.7222222222222222
13,0.7666666666666667,0.6428571428571429,0.78994708994709,0.5943396226415094,0.7
14,0.7766666666666666,0.6564102564102564,0.7928571428571428,0.6095238095238096,0.7111111111111111
15,0.7833333333333333,0.6632124352331606,0.7930158730158731,0.6213592233009708,0.7111111111111111
16,0.7833333333333333,0.6632124352331606,0.7935978835978835,0.6213592233009708,0.7111111111111111
17,0.7766666666666666,0.6564102564102564,0.7954497354497354,0.6095238095238096,0.7111111111111111
18,0.78,0.6666666666666666,0.7955026455026455,0.6111111111111112,0.7333333333333333
19,0.7666666666666667,0.65,0.7947089947089947,0.5909090909090909,0.7222222222222222
20,0.7533333333333333,0.6372549019607843,0.7948677248677248,0.5701754385964912,0.7222222222222222
